TR0312,iasi,Silence Beach Resort 5* - Side,charter,antalya,15.11-21.11,45%,din cazare
TR0268,iasi,Spice 5* - Belek,charter,antalya,15.11-21.11,50%,din cazare
TR1393,iasi,Asia Beach Resort 5* - Alanya,charter,antalya,15.11-21.11,50%,din cazare
TR1352,iasi,Sirene Belek 5* - Belek,charter,antalya,15.11-21.11,50%,din cazare
TR0903,iasi,Lara Family Club 4* - Lara/Kundu,charter,antalya,15.11-21.11,50%,din cazare
TR1155,timisoara,Arcanus Side Resort 5* - Side,charter,antalya,15.11-21.11,45%,din cazare
TR0223,timisoara,Belconti Resort 5* - Belek,charter,antalya,15.11-21.11,45%,din cazare
TR0023,timisoara,Calista Luxury Resort 5* - Belek,charter,antalya,15.11-21.11,35%,din cazare
TR0040,timisoara,Galeri Resort 5* - Alanya,charter,antalya,15.11-21.11,45%,din cazare
TR1594,timisoara,Grand Park Kemer 5* - Kemer,charter,antalya,15.11-21.11,45%,din cazare
TR0636,timisoara,Grand Park Lara 5* - Lara,charter,antalya,15.11-21.11,45%,din cazare
TR0322,timisoara,Gural Premier Belek 5* - Belek,charter,antalya,15.11-21.11,30%,din cazare
TR0321,timisoara,Gural Premier Kemer 5* - Kemer,charter,antalya,15.11-21.11,30%,din cazare
TR1439,timisoara,J'adore Deluxe 5* - Side,charter,antalya,15.11-21.11,50%,din cazare
TR0706,timisoara,Kaya Pallazo Belek 5* - Belek,charter,antalya,15.11-21.11,40%,din cazare
TR0056,timisoara,Letoonia Golf Resort 5* - Belek,charter,antalya,15.11-21.11,45%,din cazare
TR1284,timisoara,Litore Resort 5* - Alanya,charter,antalya,15.11-21.11,50%,din cazare
TR0821,timisoara,Maritim Pine Beach Resort 5* - Belek,charter,antalya,15.11-21.11,45%,din cazare
TR0089,timisoara,Rixos Premium Belek 5* - Belek,charter,antalya,15.11-21.11,35%,din cazare
TR0091,timisoara,Rixos Premium Tekirova 5* - Kemer,charter,antalya,15.11-21.11,35%,din cazare
TR0312,timisoara,Silence Beach Resort 5* - Side,charter,antalya,15.11-21.11,45%,din cazare
TR0268,timisoara,Spice 5* - Belek,charter,antalya,15.11-21.11,50%,din cazare
TR1393,timisoara,Asia Beach Resort 5* - Alanya,charter,antalya,15.11-21.11,50%,din cazare
TR1352,timisoara,Sirene Belek 5* - Belek,charter,antalya,15.11-21.11,50%,din cazare
TR0903,timisoara,Lara Family Club 4* - Lara/Kundu,charter,antalya,15.11-21.11,50%,din cazare
TR0164,bucuresti,Omer Holiday Resort 4* Kusadasi,charter,bodrum,16.11-19.11,50%,din cazare
TR1186,bucuresti,Vogue Bodrum 5* Bodrum,charter,bodrum,16.11-19.11,35%,din cazare
TR0993,bucuresti,Grand Blue Sky 4* Kusadasi,charter,bodrum,16.11-19.11,40%,din cazare
TR0162,bucuresti,Imbat Hotel 4* Kusadasi,charter,bodrum,16.11-19.11,40%,din cazare
TR1542,bucuresti,Club Green Nature Resort 5* Marmaris,charter,bodrum,16.11-19.11,30%,din cazare
FI0002,bucuresti,Levi Panorama,charter,TARA LUI MOS CRACIUN,16.11-19.11,100EUR/adult,
FI0007,bucuresti,Levi Hotel Spa,charter,TARA LUI MOS CRACIUN,16.11-19.11,100EUR/adult,
FI0001,bucuresti,Sokos Levi,charter,TARA LUI MOS CRACIUN,16.11-19.11,100EUR/adult,
GR2720,bucuresti,Selini Suites 4*,charter,creta - chania,17.11,30%,din cazare
GR2346,bucuresti,Ledra Maleme 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2486,bucuresti,Sunny Bay 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2724,bucuresti,Popi Apart hotel 2*,charter,creta - chania,16.11-19.11,20%,din cazare
GR2726,bucuresti,Grandmother Katina,charter,creta - chania,16.11-19.11,20%,din cazare
GR2720,cluj,Selini Suites 4*,charter,creta - chania,17.11,30%,din cazare
GR2346,cluj,Ledra Maleme 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2486,cluj,Sunny Bay 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2724,cluj,Popi Apart hotel 2*,charter,creta - chania,16.11-19.11,20%,din cazare
GR2726,cluj,Grandmother Katina,charter,creta - chania,16.11-19.11,20%,din cazare
GR2720,iasi,Selini Suites 4*,charter,creta - chania,17.11,30%,din cazare
GR2346,iasi,Ledra Maleme 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2486,iasi,Sunny Bay 3*,charter,creta - chania,16.11-19.11,16%,din cazare
GR2724,iasi,Popi Apart hotel 2*,charter,creta - chania,16.11-19.11,20%,din cazare
GR2726,iasi,Grandmother Katina,charter,creta - chania,16.11-19.11,20%,din cazare
GR1684,bucuresti,Varres Hotel 3* - Bohali/Zante,charter,zakynthos,17.11-19.11,15%,din cazare
GR1684,cluj,Varres Hotel 3* - Bohali/Zante,charter,zakynthos,17.11-19.11,15%,din cazare
GR2482,bucuresti,Govino Bay 4* Govino Area,charter,corfu,17.11,25%,din cazare
GR2001,bucuresti,Molfetta Hotel 3* Gouvia,charter,corfu,17.11,15%,din cazare
GR2002,bucuresti,Ionian Park 4* Gouvia,charter,corfu,17.11,20%,din cazare
GR1386,bucuresti,Potamaki Hotel 3* Benitses (Contractul de allotment),charter,corfu,17.11,15%,din cazare
GR2481,bucuresti,Victoria Hill 3* Dassia,charter,corfu,17.11,20%,din cazare
GR0209,bucuresti,Mitsis Faliraki Beach 4*,charter,rodos,16.11-19.11,20%,din cazare
GR0209,iasi,Mitsis Faliraki Beach 4*,charter,rodos,16.11-19.11,20%,din cazare
GR2658,bucuresti,Labito 2*,charter,samos,16.11-19.11,5%,din cazare
GR2465,bucuresti,Kokkari Beach 3*,charter,samos,16.11-19.11,15%,din cazare
GR2714,bucuresti,Sunrise 3*,charter,samos,16.11-19.11,5%,din cazare
GR1766,bucuresti,Mediterranean Beach 4* ,charter,santorini,17.11,25%,din cazare
GR1640,bucuresti,Venus Afroditi 4*,charter,santorini,17.11,15%,din cazare
GR1944,bucuresti,Sovereign Beach 4*,charter,kos,16.11-19.11,20%,din cazare
ES0590,bucuresti,Joya,charter,costa blanca,17.11,20%,din cazare
ES0500,bucuresti,Flash 4*,charter,costa blanca,17.11,10%,din cazare
ES0590,bucuresti,Joya,charter,costa blanca,17.11,20%,din cazare
ES0500,bucuresti,Flash 4*,charter,costa blanca,17.11,10%,din cazare
ES0590,cluj,Joya,charter,costa blanca,17.11,20%,din cazare
ES0500,cluj,Flash 4*,charter,costa blanca,17.11,10%,din cazare
ES0666,bucuresti,Gran Elba Estepona,charter,costa del sol,17.11,30%,din cazare
ES0481,bucuresti,San Fermin,charter,costa del sol,17.11,8%,din cazare
ES0666,cluj,Gran Elba Estepona,charter,costa del sol,17.11,30%,din cazare
ES0481,cluj,San Fermin,charter,costa del sol,17.11,8%,din cazare
PT0123,bucuresti,Vilamoura Garden 4*,charter,algarve,16.11-22.11,15%,din cazare
PT0088,bucuresti,Hilton Vilamoura 5*,charter,algarve,16.11-22.11,15%,din cazare
PT0107,bucuresti,Epic Sana Algarve 5*,charter,algarve,16.11-22.11,20%,din cazare
PT0026,bucuresti,Vidamar Resorts 5*,charter,madeira,16.11-24.11,25%,din cazare
PT0160,bucuresti,Pestana Royal Premium All Inclusive Ocean Spa Resort 5*,charter,madeira,16.11-20.11,25%,din cazare
PT0008,bucuresti,Vila Gale Estoril 4*,charter,cascais si estoril,16.11-22.11,10%,din cazare
TR1601,bucuresti,Kaya Artemis,charter,cipru de nord,16.11-19.11,20%,din cazare
TR1602,bucuresti,Vuni Palace,charter,cipru de nord,16.11-19.11,20%,din cazare
CY0060,bucuresti,Salamis Bay Conti,charter,cipru de nord,16.11-19.11,20%,din cazare
TR1601,cluj,Kaya Artemis,charter,cipru de nord,16.11-19.11,20%,din cazare
TR1602,cluj,Vuni Palace,charter,cipru de nord,16.11-19.11,20%,din cazare
CY0060,cluj,Salamis Bay Conti,charter,cipru de nord,16.11-19.11,20%,din cazare
IT0314,bucuresti,Kalos 3*,charter,sicilia,16.11-19.11,20%,din cazare
IT0227,bucuresti,Sporting Baia 4*,charter,sicilia,16.11-19.11,20%,din cazare
IT0068,bucuresti,Nike 4*,charter,sicilia,16.11-19.11,20%,din cazare
IT0078,bucuresti,Corte Rosada 4* Porto Conte,charter,sardinia,17.11,10%,din cazare
IT0275,bucuresti,Florida 3* Alghero,charter,sardinia,17.11,10%,din cazare
IT0273,bucuresti,Residence Europa 3* Alghero,charter,sardinia,17.11,10%,din cazare
IT0389,bucuresti,Residence Buganvillea - Eucalipti - Gardenia 3* Alghero,charter,sardinia,17.11,10%,din cazare
