1786|P45,30-12-2018,Bucuresti,Tunisia - Revelion 2019 (Grup 2)
1758|P45,19-02-2019,Bucuresti,Thailanda 2019
1758|P45,15-03-2019,Bucuresti,Thailanda 2019
1756|P45,07-03-2019,Bucuresti,Malaezia-Singapore 2019
1800|P45,27-12-2018,Bucuresti,Iordania - Revelion 2019 (Grup 2)
1677|P45,27-12-2018,Cluj Napoca,Africa De Sud - Revelion 2019
1713|P45,13-02-2019,Bucuresti,Vietnam - Cambodgia - Thailanda 2019
